45
2017-09-20 12:00:00; 6572
2017-09-20 12:06:44; 6858
2017-09-20 12:12:21; 6619
2017-09-20 13:27:40; 6438
2017-09-20 14:37:28; 6832
2017-09-20 15:36:10; 6564
2017-09-20 16:34:39; 6728
2017-09-20 16:58:09; 6855
2017-09-20 17:13:34; 6375
2017-09-20 18:16:36; 5720
2017-09-20 19:00:42; 6323
2017-09-20 19:57:25; 5688
2017-09-20 20:15:11; 6399
2017-09-20 21:18:31; 6966
2017-09-20 22:39:19; 6228
2017-09-20 23:45:02; 6584
2017-09-21 00:09:13; 5872
2017-09-21 00:21:51; 5748
2017-09-21 00:47:07; 6955
2017-09-21 02:13:20; 6978
2017-09-21 02:40:36; 6047
2017-09-21 03:52:15; 6843
2017-09-21 03:53:45; 6774
2017-09-21 04:29:29; 6974
